#TYPE Selected.Microsoft.PowerShell.Commands.MatchInfo
"Filename","LineNumber","Line"
"20260303111954_906d037f-9582-46b1-84cd-31b9cbfa0024.sql","14","CREATE TABLE public.profiles ("
"20260303111954_906d037f-9582-46b1-84cd-31b9cbfa0024.sql","32","CREATE TABLE public.user_roles ("
"20260303111954_906d037f-9582-46b1-84cd-31b9cbfa0024.sql","57","CREATE TABLE public.empresas ("
"20260303111954_906d037f-9582-46b1-84cd-31b9cbfa0024.sql","75","CREATE TABLE public.socios ("
"20260303111954_906d037f-9582-46b1-84cd-31b9cbfa0024.sql","88","CREATE TABLE public.licencas ("
"20260303111954_906d037f-9582-46b1-84cd-31b9cbfa0024.sql","102","CREATE TABLE public.certidoes ("
"20260303111954_906d037f-9582-46b1-84cd-31b9cbfa0024.sql","117","CREATE TABLE public.procuracoes ("
"20260303111954_906d037f-9582-46b1-84cd-31b9cbfa0024.sql","131","CREATE TABLE public.certificados_digitais ("
"20260303111954_906d037f-9582-46b1-84cd-31b9cbfa0024.sql","146","CREATE TABLE public.fiscal ("
"20260303111954_906d037f-9582-46b1-84cd-31b9cbfa0024.sql","165","CREATE TABLE public.pessoal ("
"20260303111954_906d037f-9582-46b1-84cd-31b9cbfa0024.sql","192","CREATE TABLE public.parcelamentos ("
"20260303111954_906d037f-9582-46b1-84cd-31b9cbfa0024.sql","212","CREATE TABLE public.user_module_permissions ("
"20260303111954_906d037f-9582-46b1-84cd-31b9cbfa0024.sql","223","CREATE TABLE public.app_config ("
"20260304171334_create_recalculos_table.sql","1","create table if not exists public.recalculos ("
"20260304180000_create_honorarios_tables.sql","2","CREATE TABLE IF NOT EXISTS public.honorarios_config ("
"20260304180000_create_honorarios_tables.sql","31","CREATE TABLE IF NOT EXISTS public.honorarios_mensal ("
"20260304183000_add_empresa_acessos.sql","7","CREATE TABLE IF NOT EXISTS public.empresa_acessos ("
"20260305124000_create_declaracoes_anuais.sql","3","CREATE TABLE IF NOT EXISTS public.declaracoes_anuais ("
"20260305124000_create_declaracoes_anuais.sql","16","CREATE TABLE IF NOT EXISTS public.declaracoes_irpf ("
"20260305221000_fix_licencas.sql","6","CREATE TABLE IF NOT EXISTS public.licencas_taxas ("
"20260306130000_create_processos_societarios.sql","2","CREATE TABLE IF NOT EXISTS public.processos_societarios ("
"20260306133000_create_ocorrencias.sql","2","CREATE TABLE IF NOT EXISTS public.ocorrencias ("
"20260306142500_create_app_config.sql","2","CREATE TABLE IF NOT EXISTS public.app_config ("
"20260309115027_secure_rls_policies.sql","10","CREATE TABLE IF NOT EXISTS public.user_roles ("
"20260309162000_fix_parcelamentos_schema.sql","10","CREATE TABLE IF NOT EXISTS public.parcelamentos_mensal ("
"20260310133000_create_internal_messages.sql","5","CREATE TABLE IF NOT EXISTS public.internal_messages ("
